"","text","name","location","description"
"1","All GitHub services are back to normal as of Monday (October 22) at 23:00 UTC. We’ve posted an update at https://t.co/cJss2H7hSv.","Cameron MacFarland","","Human male. Nerd. Programmer. Time waster. They/Them. Also on Mastodon as @distantcam@mastodon.social"
"2","@benhaynes @github @githubstatus Man what a positive spin you put on that! Love it <U+0001F44D><U+0001F680><U+2764><U+FE0F><U+0001F913><U+0001F64F><U+0001F601>","Joey Tawadrous <U+0001F1EE><U+0001F1EA>","Cork - Ireland","Creator of <U+0001F4F1><U+26A1><U+FE0F> @GetLearnable + <U+0001F680><U+0001F6E0><U+FE0F> @MakerLaunches Sure we might as well be happy while we're at it! #positive #vibes"
"3","@GitHubStatus Am getting 500 errors trying to save edits. :-(","Thomas Lee","UK (sometimes)","PowerShell/Lync Geek, Grateful Dead/Jerry Live Recording Enthusiast and living in the UK"
"4","@githubstatus Please contact me regarding a payment that was made on my Indi the fitness bot app. I did not accept to this payment and have been charged $46. Not happy","holly schafferius","",""
"5","Webhook deliveries have caught up, and we continue working through the backlogs for Pages builds as the site recovers.","<U+0412><U+0438><U+0442><U+0430><U+043B><U+0438><U+043A>","",""
"6","Everything operating normally.","<U+0412><U+0438><U+0442><U+0430><U+043B><U+0438><U+043A>","",""
"7","@githubstatus <U+0421><U+0435><U+0433><U+043E><U+0434><U+043D><U+044F> <U+0442><U+043E><U+043B><U+044C><U+043A><U+043E> <U+0432><U+0441><U+0451> <U+0443><U+0432><U+0438><U+0434><U+0435><U+043B>. <U+0417><U+0430><U+0432><U+0442><U+0440><U+0430> <U+0440><U+0430><U+0441><U+043A><U+0430><U+0436><U+0443>","<U+0412><U+0438><U+0442><U+0430><U+043B><U+0438><U+043A>","",""
"8","All GitHub services are back to normal as of Monday (October 22) at 23:00 UTC. We’ve posted an update at https://t.co/cJss2H7hSv.","remote phone","","full time dog thought leader/biscuit disrupter, part time incident response"
"9","@githubstatus Why is https://t.co/KJjY4IxyT5 500-ing? Other profiles seem to work fine.","Marek Kubica","Copenhagen, Denmark <U+0001F1EA><U+0001F1FA>","Camling in Copenthing. Against nationalism &amp; xenophobia."
"10","@githubstatus You guys still alive over there?  <U+0001F914> https://t.co/3DO1x2ecWT","Justin VanWinkle","Orlando, FL","Developer @NebbiaTech<U+0001F468><U+200D><U+0001F4BB> | Microservices<U+0001F52C> | Containerization<U+0001F40B> | Speaker<U+0001F5E3><U+FE0F> | Blogger<U+270D><U+FE0F>"
"11","@githubstatus Ehr... It's definitely still not consistent.  Slow your roll with the wishful statuses <U+0001F602>

Be sure to enjoy some <U+0001F37B> when you all get it sorted out.  Looks like it's been a hell of a night for you guys!","Justin VanWinkle","Orlando, FL","Developer @NebbiaTech<U+0001F468><U+200D><U+0001F4BB> | Microservices<U+0001F52C> | Containerization<U+0001F40B> | Speaker<U+0001F5E3><U+FE0F> | Blogger<U+270D><U+FE0F>"
"12","github page loading error! @github @githubstatus #github #githubstatus https://t.co/cWSaDB2HvD","Faru Nuri Sönmez","Kayseri, Türkiye","Full Stack Developer"
"13","@githubstatus You OK, bro? Seems like the stuff that was happening Sunday night is back :-(","Don't Boo! Vote!","Portland, OR maybe not","Zorro Notorious M. E. B. aka Buck Borasky, Frontier Programmer: sit-down comedy, sports analytics, civic hacking, ..."
"14","@githubstatus It's not solidly bad - if you retry it usually works.","Don't Boo! Vote!","Portland, OR maybe not","Zorro Notorious M. E. B. aka Buck Borasky, Frontier Programmer: sit-down comedy, sports analytics, civic hacking, ..."
"15","@githubstatus <U+0001F389><U+0001F389><U+0001F389>","Luiserebii","","doot doot"
"16","@githubstatus Meanwhile at Github HQ https://t.co/lwB16krLXP","DuSTiSe","China","<U+6CA1><U+7528><U+7684><U+7684><U+67B6><U+6784><U+5E08>,<U+8425><U+5BC4><U+751F><U+751F><U+6D3B>,<U+53D1><U+63A8><U+9017><U+81EA><U+5DF1><U+73A9><U+3002>"
